facility_id,facility_name,address,citytown,state,zip_code,countyparish,telephone_number,payment_measure_id,payment_measure_name,payment_category,denominator,payment,lower_estimate,higher_estimate,payment_footnote,value_of_care_display_id,value_of_care_display_name,value_of_care_category,value_of_care_footnote,start_date,end_date,6cfce155-48b6-579e-90ed-24016c759350,resources,limit,offset,count,results,schema,keys,format,rowIds,properties,city,name,rating
010001,SOUTHEAST HEALTH MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,HOUSTON,(334) 793-8701,PAYM_30_AMI,Payment for heart attack patients,No Different Than the National Average Payment,290,28502.0,26229.0,30939.0,,MORT_PAYM_30_AMI,Value of Care Heart Attack measure,Average Mortality and Average Payment,,07/01/2020,06/30/2023,,,,,,,,,,,,Dothan,Southeast Health Medical Center,70
010001,SOUTHEAST HEALTH MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,HOUSTON,(334) 793-8701,PAYM_30_AMI,Payment for heart attack patients,No Different Than the National Average Payment,290,28502.0,26229.0,30939.0,,MORT_PAYM_30_AMI,Value of Care Heart Attack measure,Average Mortality and Average Payment,,07/01/2020,06/30/2023,,,,,,,,,,,,Enterprise,Southeast Health Medical Center,70
010001,SOUTHEAST HEALTH MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,HOUSTON,(334) 793-8701,PAYM_30_AMI,Payment for heart attack patients,No Different Than the National Average Payment,290,28502.0,26229.0,30939.0,,MORT_PAYM_30_AMI,Value of Care Heart Attack measure,Average Mortality and Average Payment,,07/01/2020,06/30/2023,,,,,,,,,,,,Eufaula,Southeast Health Medical Center,70
010001,SOUTHEAST HEALTH MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,HOUSTON,(334) 793-8701,PAYM_30_AMI,Payment for heart attack patients,No Different Than the National Average Payment,290,28502.0,26229.0,30939.0,,MORT_PAYM_30_AMI,Value of Care Heart Attack measure,Average Mortality and Average Payment,,07/01/2020,06/30/2023,,,,,,,,,,,,Geneva,Southeast Health Medical Center,70
010001,SOUTHEAST HEALTH MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,HOUSTON,(334) 793-8701,PAYM_30_AMI,Payment for heart attack patients,No Different Than the National Average Payment,290,28502.0,26229.0,30939.0,,MORT_PAYM_30_AMI,Value of Care Heart Attack measure,Average Mortality and Average Payment,,07/01/2020,06/30/2023,,,,,,,,,,,,Ozark,Southeast Health Medical Center,70
010001,SOUTHEAST HEALTH MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,HOUSTON,(334) 793-8701,PAYM_30_HF,Payment for heart failure patients,No Different Than the National Average Payment,590,20602.0,19572.0,21713.0,,MORT_PAYM_30_HF,Value of Care Heart Failure measur,Average Mortality and Average Payment,,07/01/2020,06/30/2023,,,,,,,,,,,,Dothan,Southeast Health Medical Center,70
010001,SOUTHEAST HEALTH MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,HOUSTON,(334) 793-8701,PAYM_30_HF,Payment for heart failure patients,No Different Than the National Average Payment,590,20602.0,19572.0,21713.0,,MORT_PAYM_30_HF,Value of Care Heart Failure measur,Average Mortality and Average Payment,,07/01/2020,06/30/2023,,,,,,,,,,,,Enterprise,Southeast Health Medical Center,70
010001,SOUTHEAST HEALTH MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,HOUSTON,(334) 793-8701,PAYM_30_HF,Payment for heart failure patients,No Different Than the National Average Payment,590,20602.0,19572.0,21713.0,,MORT_PAYM_30_HF,Value of Care Heart Failure measur,Average Mortality and Average Payment,,07/01/2020,06/30/2023,,,,,,,,,,,,Eufaula,Southeast Health Medical Center,70
010001,SOUTHEAST HEALTH MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,HOUSTON,(334) 793-8701,PAYM_30_HF,Payment for heart failure patients,No Different Than the National Average Payment,590,20602.0,19572.0,21713.0,,MORT_PAYM_30_HF,Value of Care Heart Failure measur,Average Mortality and Average Payment,,07/01/2020,06/30/2023,,,,,,,,,,,,Geneva,Southeast Health Medical Center,70
010001,SOUTHEAST HEALTH MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,HOUSTON,(334) 793-8701,PAYM_30_HF,Payment for heart failure patients,No Different Than the National Average Payment,590,20602.0,19572.0,21713.0,,MORT_PAYM_30_HF,Value of Care Heart Failure measur,Average Mortality and Average Payment,,07/01/2020,06/30/2023,,,,,,,,,,,,Ozark,Southeast Health Medical Center,70
010001,SOUTHEAST HEALTH MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,HOUSTON,(334) 793-8701,PAYM_30_PN,Payment for pneumonia patients,Greater Than the National Average Payment,468,22404.0,21247.0,23627.0,,MORT_PAYM_30_PN,Value of Care Pneumonia measure,Average Mortality and Higher Payment,,07/01/2020,06/30/2023,,,,,,,,,,,,Dothan,Southeast Health Medical Center,70
010001,SOUTHEAST HEALTH MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,HOUSTON,(334) 793-8701,PAYM_30_PN,Payment for pneumonia patients,Greater Than the National Average Payment,468,22404.0,21247.0,23627.0,,MORT_PAYM_30_PN,Value of Care Pneumonia measure,Average Mortality and Higher Payment,,07/01/2020,06/30/2023,,,,,,,,,,,,Enterprise,Southeast Health Medical Center,70
010001,SOUTHEAST HEALTH MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,HOUSTON,(334) 793-8701,PAYM_30_PN,Payment for pneumonia patients,Greater Than the National Average Payment,468,22404.0,21247.0,23627.0,,MORT_PAYM_30_PN,Value of Care Pneumonia measure,Average Mortality and Higher Payment,,07/01/2020,06/30/2023,,,,,,,,,,,,Eufaula,Southeast Health Medical Center,70
010001,SOUTHEAST HEALTH MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,HOUSTON,(334) 793-8701,PAYM_30_PN,Payment for pneumonia patients,Greater Than the National Average Payment,468,22404.0,21247.0,23627.0,,MORT_PAYM_30_PN,Value of Care Pneumonia measure,Average Mortality and Higher Payment,,07/01/2020,06/30/2023,,,,,,,,,,,,Geneva,Southeast Health Medical Center,70
010001,SOUTHEAST HEALTH MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,HOUSTON,(334) 793-8701,PAYM_30_PN,Payment for pneumonia patients,Greater Than the National Average Payment,468,22404.0,21247.0,23627.0,,MORT_PAYM_30_PN,Value of Care Pneumonia measure,Average Mortality and Higher Payment,,07/01/2020,06/30/2023,,,,,,,,,,,,Ozark,Southeast Health Medical Center,70
010001,SOUTHEAST HEALTH MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,HOUSTON,(334) 793-8701,PAYM_90_HIP_KNEE,Payment for hip/knee replacement patients,No Different Than the National Average Payment,32,22819.0,20082.0,26007.0,,COMP_PAYM_90_HIP_KNEE,Value of Care hip/knee replacement,Average Complications and Average Payment,,07/01/2020,03/31/2023,,,,,,,,,,,,Dothan,Southeast Health Medical Center,70
010001,SOUTHEAST HEALTH MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,HOUSTON,(334) 793-8701,PAYM_90_HIP_KNEE,Payment for hip/knee replacement patients,No Different Than the National Average Payment,32,22819.0,20082.0,26007.0,,COMP_PAYM_90_HIP_KNEE,Value of Care hip/knee replacement,Average Complications and Average Payment,,07/01/2020,03/31/2023,,,,,,,,,,,,Enterprise,Southeast Health Medical Center,70
010001,SOUTHEAST HEALTH MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,HOUSTON,(334) 793-8701,PAYM_90_HIP_KNEE,Payment for hip/knee replacement patients,No Different Than the National Average Payment,32,22819.0,20082.0,26007.0,,COMP_PAYM_90_HIP_KNEE,Value of Care hip/knee replacement,Average Complications and Average Payment,,07/01/2020,03/31/2023,,,,,,,,,,,,Eufaula,Southeast Health Medical Center,70
010001,SOUTHEAST HEALTH MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,HOUSTON,(334) 793-8701,PAYM_90_HIP_KNEE,Payment for hip/knee replacement patients,No Different Than the National Average Payment,32,22819.0,20082.0,26007.0,,COMP_PAYM_90_HIP_KNEE,Value of Care hip/knee replacement,Average Complications and Average Payment,,07/01/2020,03/31/2023,,,,,,,,,,,,Geneva,Southeast Health Medical Center,70
010001,SOUTHEAST HEALTH MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,HOUSTON,(334) 793-8701,PAYM_90_HIP_KNEE,Payment for hip/knee replacement patients,No Different Than the National Average Payment,32,22819.0,20082.0,26007.0,,COMP_PAYM_90_HIP_KNEE,Value of Care hip/knee replacement,Average Complications and Average Payment,,07/01/2020,03/31/2023,,,,,,,,,,,,Ozark,Southeast Health Medical Center,70
010006,NORTH ALABAMA MEDICAL CENTER,1701 VETERANS DRIVE,FLORENCE,AL,35630,LAUDERDALE,(256) 629-1000,PAYM_30_AMI,Payment for heart attack patients,Greater Than the National Average Payment,281,31366.0,28808.0,34136.0,,MORT_PAYM_30_AMI,Value of Care Heart Attack measure,Worse Mortality and Higher Payment,,07/01/2020,06/30/2023,,,,,,,,,,,,Athens,North Alabama Medical Center,59
010006,NORTH ALABAMA MEDICAL CENTER,1701 VETERANS DRIVE,FLORENCE,AL,35630,LAUDERDALE,(256) 629-1000,PAYM_30_AMI,Payment for heart attack patients,Greater Than the National Average Payment,281,31366.0,28808.0,34136.0,,MORT_PAYM_30_AMI,Value of Care Heart Attack measure,Worse Mortality and Higher Payment,,07/01/2020,06/30/2023,,,,,,,,,,,,Decatur,North Alabama Medical Center,59
